r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
16,21,24,8,1,4000,0.38117,0.50000,5985
16,3,24,25,1,4000,0.35484,0.50000,16453
16,17,24,21,1,4000,0.34110,0.50000,7417
16,30,24,15,1,4000,0.33505,0.50000,14889
16,30,24,22,1,4000,0.33517,0.50000,15173
16,21,24,24,1,4000,0.38118,0.50000,6019
16,11,24,16,1,4000,0.36509,0.50000,10208
16,22,24,16,1,4000,0.37493,0.50000,6350
16,31,24,8,1,4000,0.30614,0.50000,18573
16,23,24,14,1,4000,0.35854,0.50000,6528
16,9,24,27,1,4000,0.34147,0.50000,11954
16,9,24,13,1,4000,0.34146,0.50000,12649
16,6,24,20,1,4000,0.34833,0.50000,14336
16,3,24,8,1,4000,0.35477,0.50000,16011
16,6,24,17,1,4000,0.34833,0.50000,14345
16,11,24,17,1,4000,0.36494,0.50000,10375
16,29,24,21,1,4000,0.35496,0.50000,13614
16,20,24,3,1,4000,0.36587,0.50000,6091
16,29,24,20,1,4000,0.35484,0.50000,13072
16,31,24,17,1,4000,0.30598,0.50000,18413
16,6,24,5,1,4000,0.34818,0.50000,14989
16,9,24,14,1,4000,0.34140,0.50000,12603
16,7,24,31,1,4000,0.33055,0.50000,14071
16,29,24,12,1,4000,0.35498,0.50000,13263
16,25,24,26,1,4000,0.36533,0.50000,7114
16,29,24,7,1,4000,0.35494,0.50000,13452
16,10,24,10,1,4000,0.36040,0.50000,11050
16,23,24,10,1,4000,0.35874,0.50000,6484
16,28,24,18,1,4000,0.35357,0.50000,11654
16,12,24,6,1,4000,0.35542,0.50000,9012
16,23,24,23,1,4000,0.35853,0.50000,6583
16,19,24,24,1,4000,0.37250,0.50000,6577
16,2,24,16,1,4000,0.34505,0.50000,16900
16,22,24,13,1,4000,0.37489,0.50000,5881
16,23,24,21,1,4000,0.35853,0.50000,6455
16,12,24,13,1,4000,0.35546,0.50000,9173
16,17,24,28,1,4000,0.34105,0.50000,7363
16,6,24,18,1,4000,0.34827,0.50000,15471
24,13,16,13,1,4000,0.36054,0.50000,8493
24,1,16,9,1,4000,0.31929,0.50000,17230
24,21,16,20,1,4000,0.38143,0.50000,6133
24,13,16,11,1,4000,0.36062,0.50000,8338
24,26,16,24,1,4000,0.37599,0.50000,8865
24,22,16,19,1,4000,0.37512,0.50000,6089
24,21,16,30,1,4000,0.38134,0.50000,6059
24,31,16,21,1,4000,0.30605,0.50000,18828
24,10,16,21,1,4000,0.36031,0.50000,11282
24,1,16,14,1,4000,0.31916,0.50000,17099
24,5,16,21,1,4000,0.35813,0.50000,16195
24,25,16,30,1,4000,0.36573,0.50000,8219
24,12,16,17,1,4000,0.35557,0.50000,8903
24,1,16,22,1,4000,0.31916,0.50000,18149
24,14,16,13,1,4000,0.34731,0.50000,8221
24,11,16,28,1,4000,0.36518,0.50000,10416
24,20,16,19,1,4000,0.36609,0.50000,6271
24,29,16,31,1,4000,0.35513,0.50000,13365
24,15,16,20,1,4000,0.32773,0.50000,8090
24,27,16,17,1,4000,0.37261,0.50000,10410
24,14,16,30,1,4000,0.34727,0.50000,8240
24,10,16,23,1,4000,0.36040,0.50000,10955
24,6,16,15,1,4000,0.34804,0.50000,14438
24,20,16,22,1,4000,0.36606,0.50000,6473
24,17,16,7,1,4000,0.34116,0.50000,7243
24,13,16,26,1,4000,0.36051,0.50000,8178
24,9,16,28,1,4000,0.34166,0.50000,12253
24,6,16,25,1,4000,0.34812,0.50000,14745
24,3,16,27,1,4000,0.35485,0.50000,16603
24,25,16,20,1,4000,0.36578,0.50000,7785
24,1,16,12,1,4000,0.31921,0.50000,17625
24,30,16,9,1,4000,0.33502,0.50000,15436
24,26,16,23,1,4000,0.37603,0.50000,8787
24,14,16,28,1,4000,0.34741,0.50000,7731
24,22,16,18,1,4000,0.37528,0.50000,6299
24,10,16,5,1,4000,0.36047,0.50000,10818
24,15,16,27,1,4000,0.32781,0.50000,7732
24,9,16,16,1,4000,0.34161,0.50000,12426
24,17,16,2,1,4000,0.34115,0.50000,7252
24,9,16,17,1,4000,0.34173,0.50000,11951
24,4,16,24,1,4000,0.34912,0.50000,15402
24,19,16,14,1,4000,0.37288,0.50000,6314
24,3,16,12,1,4000,0.35491,0.50000,16181
24,3,16,22,1,4000,0.35479,0.50000,16372
24,15,16,1,1,4000,0.32777,0.50000,7688
24,6,16,17,1,4000,0.34808,0.50000,14244
24,23,16,31,1,4000,0.35860,0.50000,6164
24,6,16,23,1,4000,0.34804,0.50000,14511
24,3,16,13,1,4000,0.35488,0.50000,16844
